operated_at,geohash,avg_lightlux,latitude,longitude,si,gungu,dong,weight
2024-06-21 23:00:00,wykh8erq,39.333333333333336,35.966,129.407,경상북도,포항시 남구,오천읍,0.0025483776252444505
2024-06-27 20:00:00,wykh8gmh,41.0,35.966,129.415,경상북도,포항시 남구,오천읍,0.0026591766524289915
2024-06-22 20:00:00,wykh8gq7,40.5,35.966,129.417,경상북도,포항시 남구,오천읍,0.0026259369442736295
2024-06-07 20:00:00,wykh8ee3,41.6,35.967,129.402,경상북도,포항시 남구,오천읍,0.002699064302215427
2024-06-21 20:00:00,wykh8esk,41.5,35.967,129.403,경상북도,포항시 남구,오천읍,0.002692416360584354
2024-06-13 20:00:00,wykh8gs5,40.5,35.967,129.414,경상북도,포항시 남구,오천읍,0.0026259369442736295
2024-06-27 20:00:00,wykh8esn,41.5,35.968,129.403,경상북도,포항시 남구,오천읍,0.002692416360584354
2024-06-12 20:00:00,wykh8etw,39.333333333333336,35.968,129.405,경상북도,포항시 남구,오천읍,0.0025483776252444505
2024-06-16 00:00:00,wykh8gvz,41.0,35.969,129.416,경상북도,포항시 남구,오천읍,0.0026591766524289915
2024-06-14 20:00:00,wykh8spm,41.75,35.97,129.407,경상북도,포항시 남구,오천읍,0.0027090362146620353
2024-06-21 21:00:00,wykh8shp,40.0,35.971,129.403,경상북도,포항시 남구,오천읍,0.002592697236118267
2024-06-23 21:00:00,wykh8smb,39.77777777777778,35.971,129.405,경상북도,포항시 남구,오천읍,0.0025779240324936615
2024-06-05 20:00:00,wykh8u32,40.0,35.971,129.41,경상북도,포항시 남구,오천읍,0.002592697236118267
2024-06-12 22:00:00,wykh8umb,41.333333333333336,35.971,129.416,경상북도,포항시 남구,오천읍,0.0026813364578659
2024-06-25 05:00:00,wykh8s7y,40.5,35.972,129.402,경상북도,포항시 남구,오천읍,0.0026259369442736295
2024-06-27 20:00:00,wykh8umr,39.5,35.972,129.415,경상북도,포항시 남구,오천읍,0.0025594575279629045
2024-06-27 22:00:00,wykh8sdq,41.0,35.973,129.4,경상북도,포항시 남구,오천읍,0.0026591766524289915
2024-06-24 21:00:00,wykh8sez,41.5,35.973,129.402,경상북도,포항시 남구,오천읍,0.002692416360584354
2024-06-02 22:00:00,wykh8sfh,40.5,35.974,129.4,경상북도,포항시 남구,오천읍,0.0026259369442736295
2024-06-04 20:00:00,wykh8sgy,41.0,35.974,129.402,경상북도,포항시 남구,오천읍,0.0026591766524289915
2024-06-29 23:00:00,wykh8t5c,39.666666666666664,35.975,129.402,경상북도,포항시 남구,오천읍,0.0025705374306813585
2024-06-19 04:00:00,wykh8t5v,41.84468085106383,35.976,129.402,경상북도,포항시 남구,오천읍,0.0027153305423765614
2024-06-19 20:00:00,wykh8tjr,39.333333333333336,35.976,129.404,경상북도,포항시 남구,오천읍,0.0025483776252444505
2024-06-21 20:00:00,wykh8trb,41.0,35.976,129.408,경상북도,포항시 남구,오천읍,0.0026591766524289915
2024-06-12 21:00:00,wykh8vk0,41.77777777777778,35.976,129.414,경상북도,포항시 남구,오천읍,0.002710882865115111
2024-06-12 21:00:00,wykh8v34,41.25,35.977,129.41,경상북도,포항시 남구,오천읍,0.002675796506506673
2024-06-05 20:00:00,wykh8v7u,40.0,35.977,129.413,경상북도,포항시 남구,오천읍,0.002592697236118267
2024-06-02 21:00:00,wykh8v8p,41.0,35.979,129.408,경상북도,포항시 남구,오천읍,0.0026591766524289915
2024-06-27 20:00:00,wykh8vfg,41.15,35.979,129.412,경상북도,포항시 남구,오천읍,0.0026691485648756004
2024-06-12 04:00:00,wykh8w58,41.0,35.98,129.402,경상북도,포항시 남구,오천읍,0.0026591766524289915
2024-06-26 20:00:00,wykh8vgh,41.0,35.98,129.412,경상북도,포항시 남구,오천읍,0.0026591766524289915
2024-06-24 05:00:00,wykh8w76,41.0,35.982,129.402,경상북도,포항시 남구,오천읍,0.0026591766524289915
2024-06-18 00:00:00,wy7uxwx2,39.333333333333336,35.983,129.363,경상북도,포항시 남구,대송면,0.0025483776252444505
2024-06-27 00:00:00,wykh8w7r,40.0,35.983,129.402,경상북도,포항시 남구,오천읍,0.002592697236118267
2024-06-14 21:00:00,wykh8y9c,41.0,35.983,129.411,경상북도,포항시 남구,오천읍,0.0026591766524289915
2024-06-12 02:00:00,wy7uxwxq,40.0,35.984,129.363,경상북도,포항시 남구,대송면,0.002592697236118267
2024-06-28 04:00:00,wykh8we7,41.5,35.984,129.402,경상북도,포항시 남구,인덕동,0.002692416360584354
2024-06-22 05:00:00,wykh8wgk,39.142857142857146,35.985,129.402,경상북도,포항시 남구,인덕동,0.002535714879280503
2024-06-07 04:00:00,wykh8x4y,41.0,35.987,129.401,경상북도,포항시 남구,인덕동,0.0026591766524289915
2024-06-01 05:00:00,wykh8x6m,41.5,35.988,129.4,경상북도,포항시 남구,인덕동,0.002692416360584354
2024-06-29 23:00:00,wy7uxzt6,39.5,35.989,129.371,경상북도,포항시 남구,장흥동,0.0025594575279629045
